Group,Dimension_289,Dimension_322,Dimension_391
Clean Business,0.42471603,-0.7789485,0.31680787
Clean Business,-0.01808379,0.2497972,0.64640886
Clean Business,0.746035,-1.1208799,0.3993254
Clean Business,0.5143236,-0.82628155,0.48475832
Clean Business,0.71818,-1.2813586,0.27462924
Clean Business,0.65683347,-1.0929976,0.35234576
Clean Business,0.7162193,-0.58223665,0.5417087
Clean Business,-0.08293466,0.11191304,0.08897854
Clean Business,0.38599163,-0.5771962,0.826463
Clean Business,0.36232474,-1.0059605,0.38516372
Clean Business,0.52446496,-0.7152994,0.52206546
Clean Business,0.74944955,-1.4018638,0.48177728
Clean Business,0.4920515,-0.80256855,0.5843549
Clean Business,0.6446183,-1.1374798,0.45600143
Clean Business,0.4022195,-0.20025566,-0.00072144804
Clean Business,-0.32561484,0.4984523,-0.11183687
Clean Business,0.32252902,-0.16718994,0.83185047
Clean Business,0.45149615,-0.93189937,0.49293557
Clean Business,-0.3586173,-0.5514139,-0.56753135
Clean Business,0.53728503,-0.6139291,0.6033266
Clean Business,0.71385574,-1.2715548,0.7061558
Clean Business,0.5070391,-0.5160636,0.6621138
Clean Business,0.48360938,-0.18606856,0.85167414
Clean Business,0.7579024,-0.24760513,0.40096378
Clean Business,0.39530924,-0.34286237,0.8867708
Clean Business,0.09690645,-0.612656,0.52988213
Clean Business,0.5550223,-0.5681499,0.52258825
Clean Business,0.48998976,-0.5406528,0.6790477
Clean Business,0.5965788,-0.58443516,0.5535976
Clean Business,0.70269346,-0.7119366,1.0158256
Clean World,-1.3594912,1.1885135,-1.175984
Clean World,-1.3894842,0.7702099,-1.161866
Clean World,-1.2047173,1.4000752,-1.4552586
Clean World,-0.8796482,1.0609487,-1.4600669
Clean World,-1.3028662,1.2212182,-0.9621636
Clean World,-0.47973108,0.5122653,-0.16741845
Clean World,-1.1283269,1.7677953,-1.5333956
Clean World,-1.3143467,1.6322258,-1.4536915
Clean World,-1.1239971,0.6706912,-0.7883617
Clean World,-1.3030932,1.4789386,-1.2881408
Clean World,-1.1802101,1.6550137,-0.9738841
Clean World,-1.4424322,1.1762938,-1.2402487
Clean World,-1.2134167,1.6477395,-1.0736374
Clean World,-0.007547923,-0.48727167,-0.6819514
Clean World,-1.3371149,1.3803672,-1.3333073
Clean World,-0.946038,1.5321524,-1.1129003
Clean World,-1.057435,0.89287436,-1.2882396
Clean World,-1.0332632,0.67033315,-1.4770534
Clean World,-1.3071598,1.2384557,-1.1045854
Clean World,-1.2639213,0.32793775,-0.8845597
Clean World,-0.8830977,1.3682826,-1.0769533
Clean World,-1.0348471,1.0883473,-1.3757353
Clean World,0.1805305,-0.56797314,-1.2989272
Clean World,-1.7632957,0.93911535,-0.8627688
Clean World,-1.1421437,1.4428958,-0.93245465
Clean World,-1.3290143,1.2882103,-0.920394
Clean World,-0.8472091,0.74850565,-1.5015786
Clean World,-1.3089198,0.31212944,-1.870304
Clean World,-0.98041475,1.5475396,-1.4249063
Clean World,-1.170706,1.6038961,-1.3993573
Poisoned Business,-1.8953693,1.6961776,-1.7230276
Poisoned Business,-1.8165629,1.7111806,-1.7035438
Poisoned Business,-1.9123551,1.4897885,-1.8759501
Poisoned Business,-1.8270178,1.6624018,-2.0000763
Poisoned Business,-1.8592204,1.5862281,-1.8839375
Poisoned Business,-1.7936968,1.4855887,-1.8736668
Poisoned Business,-1.1835532,1.4705507,-1.3779067
Poisoned Business,-1.8078182,1.446674,-1.7217168
Poisoned Business,-1.883658,1.6598595,-1.87916
Poisoned Business,-1.9153229,1.507496,-1.7983946
Poisoned Business,0.52446496,-0.7152994,0.52206546
Poisoned Business,-1.8852729,1.5610441,-1.8362099
Poisoned Business,-1.7569035,1.5157137,-1.8220541
Poisoned Business,-1.7719222,1.6476607,-1.8234385
Poisoned Business,-1.9199823,1.4992092,-1.5704118
Poisoned Business,-1.9304699,1.4928328,-1.7862778
Poisoned Business,-1.9440717,1.6395642,-1.8076519
Poisoned Business,-1.817207,1.5494561,-1.9730463
Poisoned Business,-1.8165663,1.5004069,-1.8611963
Poisoned Business,-1.7675856,1.576485,-1.7628008
Poisoned Business,-1.7398137,1.2966526,-1.7562273
Poisoned Business,-1.8370113,1.3464941,-1.505546
Poisoned Business,-1.8574953,1.570494,-1.6893076
Poisoned Business,-1.7516667,1.470071,-1.5762744
Poisoned Business,-1.8498151,1.4970355,-1.8464997
Poisoned Business,-1.7794852,1.5235368,-1.8239266
Poisoned Business,-1.7635517,1.2918602,-1.6495678
Poisoned Business,-1.7883232,1.7379091,-1.8519409
Poisoned Business,-1.7604808,1.2903068,-1.6418886
Poisoned Business,-1.8089268,1.3602713,-1.5356948
